서명,저자,출판사,발행년,자료유형,소장처
한국 현대사 산책 : 2010년대편 1권,강준만,인물과사상사,2024,단행본,중앙도서관 [ ]정리중
한국 현대사 산책 : 2010년대편 2권,강준만,인물과사상사,2024,단행본,중앙도서관 [ ]정리중
2030년 돈의 세계지도,"Rogers, Jim",알파미디어,2024,단행본,중앙도서관 [ ]정리중
"스물에 이르러, 스물에 이르기까지",조윤택,부크크,2024,단행본,중앙도서관 [ ]정리중
Electoral systems,"Carter, Elisabeth L",Bloomsbury Academic,2024,단행본,2관3층 일반도서 [324 C323e 2024]대출가능
Working together in theatre,"Cohen, Robert",Methuen Drama,2024,단행본,2관5층 일반도서 [792.02 C678w 2024]대출가능
미완의 정의를 향하여,이웅,지식과감성#,2024,단행본,법학전문도서관 단행본서가 [LA 340 이671ㅁ]정리중
변호사가 병원을 말하다,오승준,하움,2024,단행본,법학전문도서관 단행본서가 [ ]정리중
공공계약과 경쟁,김진기,박영사,2024,단행본,법학전문도서관/단행본서가/ [ ]정리중
성냥팔이 소녀는 누가 죽였을까?,도진기,추수밭 : 청림,2024,단행본,법학전문도서관 단행본서가 [ ]정리중
"교통사고, 지식iN과 GAI에 물어는 봤수?",박승범,깊은샘,2024,단행본,법학전문도서관 단행본서가 [ ]정리중
(보험사도 모르는) 교통사고 판결의 비밀,인수열,깊은샘,2024,단행본,법학전문도서관 단행본서가 [ ]정리중
헌법의 탄생,차병직,바다,2024,단행본,법학전문도서관 단행본서가 [ ]정리중
이런 법도 모르고 1인 미디어 하지 마라,김민철,루아크,2024,단행본,법학전문도서관 단행본서가 [ ]정리중
인공지능(AI)과 개인정보 보호법,박미사,내를 건너서 숲으로,2024,단행본,법학전문도서관 단행본서가 [ ]정리중
음악인을 위한 권리 해설서,전유림,태림스코어,2024,단행본,법학전문도서관 단행본서가 [ ]정리중
법교육이란 무엇인가,곽한영,박영story : 피와이메이트,2024,단행본,법학전문도서관 단행본서가 [ ]정리중
노후 계획도시 특별법,송현진,진원북스,2024,단행본,법학전문도서관 단행본서가 [ ]정리중
요건사실과 주장증명책임,최진수,진원사,2024,단행본,법학전문도서관 단행본서가 [ ]정리중
상법강의요론,정찬형,박영사,2024,단행본,법학전문도서관 단행본서가 [ ]정리중
특별형법,이주원,弘文社,2024,단행본,법학전문도서관 단행본서가 [ ]정리중
상법기본강의,이상수,피앤씨미디어,2024,단행본,법학전문도서관 단행본서가 [ ]정리중
형법각론,김성돈,박영사,2024,단행본,법학전문도서관 단행본서가 [ ]정리중
중대재해처벌법 해설,김영규,법문사,2024,단행본,법학전문도서관 단행본서가 [ ]정리중
민사조정,안지현,박영사,2024,단행본,법학전문도서관 단행본서가 [ ]정리중
공정거래법,김성삼,한국공정경쟁연합회,2024,단행본,법학전문도서관 단행본서가 [ ]정리중
법정의 얼굴들,박주영,모로,2024,단행본,법학전문도서관 단행본서가 [ ]정리중
기부금품법 함께 읽기,박훈,아름다운 북,2024,단행본,법학전문도서관 단행본서가 [ ]정리중
미국 계약법 / 제3판,조국현,진원북스,2024,단행본,법학전문도서관/단행본서가/ [ ]정리중
읽기 쉬운 민법 : 법률로 배우는 민법 / 제2판,이진기,유원북스,2024,단행본,법학전문도서관/단행본서가/ [ ]정리중
해사경쟁법 연구. 1,김인현,法文社,2024,단행본,법학전문도서관/단행본서가/ [ ]정리중
검사의 탄생 : 지금 이 순간 당신에게 필요한 검찰 공부,검찰연구모임 리셋,윌북,2024,단행본,법학전문도서관/단행본서가/ [ ]정리중
新 민법사례연습 / 제7판,송덕수,박영사,2024,단행본,법학전문도서관/단행본서가/ [ ]정리중
허위신고(고소) 무고죄 고소장 작성방법/고소방법,대한법률콘텐츠연구회,법문북스,2024,단행본,법학전문도서관/단행본서가/ [ ]정리중
미국 구제법,강병진,법률신문사,2024,단행본,법학전문도서관/단행본서가/ [ ]정리중
바이마르 헌법과 정치사상 / [개정판],"Heller, Hermann",산지니,2024,단행본,법학전문도서관/단행본서가/ [ ]정리중
"좋은 변론, 좋은 변호사",윤재윤,법률신문사,2024,단행본,법학전문도서관 단행본서가 [LA 340 윤72ㅈ]정리중
사이버범죄와 형사법,최호진,준커뮤니케이션즈,2024,단행본,법학전문도서관 단행본서가 [LA 364.168 최95ㅅ]정리중
마흔에 읽는 소크라테스 : 인생의 굽잇길을 넘는 철학 수업,임성훈,유노북스 : 유노콘텐츠그룹,2024,단행본,1관3층 일반도서 [183.2 S678임]정리중
"표류하는 섬, 표류하는 사람들 : 근대 이후 조선인들의 대마도 방문기",임경화,學古房,2024,단행본,2관6층 일반도서 [915.304 표237]정리중
"격강투지 : 제갈량과 주유, 장강을 사이에 두고 지략을 겨루다",장무순,지만지드라마,2024,단행본,2관5층 일반도서 [812.24 원151 K]정리중
요코하마 코인 세탁소,천 유타카,서사원,2024,단행본,2관6층 일반도서 [813.38 천671ㅎ K]정리중
일인칭 전업작가 시점 : 각자도생의 시대에서 글쟁이로 살아남는 법 : 심너울 에세이,심너울,문학수첩,2024,단행본,법학전문도서관 단행본서가 [LA 811.48 심213ㅇ]정리중
"사무라이 이야기 : 인물과 사건으로 읽는 일본, 칼의 역사",박현석,玄人,2024,단행본,3관4층 일반도서 [953 시37 K]대출가능
대한민국 자치행정학 연구,최진혁,충남대학교출판문화원,2024,단행본,2관3층 일반도서 [352.140951 최79ㄷ]대출가능
한국사회복지 법제와 실천,임승규,탑21북스,2024,단행본,법학전문도서관 단행본서가 [LA 344.5103 임58ㅎ]대출가능
국치를 잊지 말라 : 역사적 기억으로 본 중국의 정치와 외교,왕정,여문책,2024,단행본,2관3층 일반도서 [327.52 W246n K]대출가능
지방재정론 / 개정판(제2판),이재원,윤성사,2024,단행본,2관3층 일반도서 [336.014 이72ㅈ 2024]대출가능
(기후 변화와 ESG 시대의) 환경정책과 행정,사득환,윤성사,2024,단행본,2관3층 일반도서 [363.7 환1413]대출가능
복지분권의 이해,김이배,박영story : 박영사 : 피와이메이트,2024,단행본,2관3층 일반도서 [352.14 김69ㅂ]대출가능
이주와 이주공동체,지영임,민속원,2024,단행본,2관3층 일반도서 [303.482 지64ㅇ]대출가능
가족복지론,강영숙,공동체,2024,단행본,2관3층 일반도서 [362.82 강64ㄱ]대출가능
방산안보학개론,류연승,박영사,2024,단행본,2관3층 일반도서 [338.47355 방51]대출가능
오직 강자만 : 미국의 힘을 와해시키려는 좌파의 음모를 뒤집다,"Cotton, Tom",더런,2024,단행본,2관3층 일반도서 [324.2736 C851 O K]대출가능
우리는 모두 불평등한 세계에 살고 있다 : 기울어진 세계에서 생존하는 법,"Kim, Michelle Mijung",쌤앤파커스,2024,단행본,2관3층 일반도서 [303.372 K49w K]대출가능
사회복지실천기술론,이경희,동문사,2024,단행본,2관3층 일반도서 [361.32 사9635]대출가능
21세기 인권법,손형섭,박영사,2024,단행본,법학전문도서관 단행본서가 [LA 342.085 이59]대출가능
보통사람의 정치학,"Wong, Ayman Rashdan",산지니,2024,단행본,2관3층 일반도서 [320 W872p K]대출가능
인물로 바라보는 대한민국 : 애덤 스미스에서 윤석열까지,이경식,일송북,2024,단행본,2관3층 일반도서 [301.0951 이14ㅇ]대출가능
공격하는 인간 : 호모 잉쿠르시오스,조인숙,국민대학교출판부,2024,단행본,2관3층 일반도서 [302.23 조69ㄱ]대출가능
아동복지론,강영숙,정민사,2024,단행본,2관3층 일반도서 [362.7 아22517]대출가능
(알기 쉬운) 인간행동과 사회환경,유미림,동문사,2024,단행본,2관3층 일반도서 [302 유39ㅇ]대출가능
"한반도 국가의 정치 군사적 조건 : the Korean Peninsula, 676~1885",손동완,바른북스,2024,단행본,2관3층 일반도서 [355.033551 손225ㅎ]대출가능
은폐된 노예제,식촌 방언,해남,2024,단행본,2관3층 일반도서 [305.5 식815ㅇ K]대출가능
"탈북 32년, 두만강 넘어 시드니 : 연합뉴스 기자의 30년 동행 취재기",김재홍,황금알,2024,단행본,2관3층 일반도서 [325.21 김72ㅌ]대출가능
윤보선과 1970년대 한국정치,윤보선민주주의연구원,한국학중앙연구원출판부,2024,단행본,3관4층 일반도서 [951.63092 윤45윤ㅇ]대출가능
"공수처, 아무도 가지 않은 길 : 초대 공수처장이 말하다",김진욱,알에이치코리아,2024,단행본,법학전문도서관 단행본서가 [LA 345.02323 김79ㄱ]대출가능
"정당 없는 민주주의는 없다 : 한국 정치, 현실을 넘어 미래로",곽진영,21세기북스,2024,단행본,2관3층 일반도서 [324.251 정2211]대출가능
정책학의 심층분석 : 정책학이란 무엇인가?,권기헌,박영사,2024,단행본,2관3층 일반도서 [352.34 권19ㅈㅂ]대출가능
"최고의 선택, 카멀라 해리스",이채윤,작가교실,2024,단행본,2관3층 일반도서 [320.092 H314이]대출가능
디지털 저널리즘 연구란 무엇인가?,"Steensen, Steen",지금,2024,단행본,1관4층 일반도서 [070.1 S814w K]대출가능
이승만 스피치 1950 : 전쟁과 결의,이승만,투나미스,2024,단행본,3관4층 일반도서 [951.62092 이58 2024]대출가능
DMZ의 꿈 : 기후 행동을 통해 재창조된 유라시아,이근중,좋은땅,2024,단행본,2관3층 일반도서 [327.17 이18d]대출가능
"우크라이나와 러시아 특수 군사 작전 그리고 푸틴 대통령 : 영국과 미국이 끝내 침탈하지 못한 자원강국, 러시아",이유섭,좋은땅,2024,단행본,2관3층 일반도서 [327.470477 이67ㅇ]대출가능
말투만 바꿨을 뿐인데 : 찰나의 말투 하나로 당신의 인생이 놀랍게 달라진다!,김민성,프로파일러북스,2024,단행본,2관5층 일반도서 [808.56 김391ㅁ]대출가능
밤이 끝나는 곳 : 온다 리쿠 장편소설,은전 육,SIGONGSA,2024,단행본,2관6층 일반도서 [813.37 은73ㅇㄱ K]대출가능
분노와 슬픔의 스토리텔링,송상근,푸블리우스,2024,단행본,1관4층 일반도서 [070.4 송51ㅂ]대출가능
시차,배해률,이음,2024,단행본,2관5층 일반도서 [811.28 배92ㅅㅊ]대출가능
앨리스와의 티타임 : 정소연 소설집,정소연,래빗홀 : 인플루엔셜,2024,단행본,2관5층 일반도서 [811.38 정554ㅇㄹ]대출가능
울프 홀 : 힐러리 맨틀 장편소설,"Mantel, Hilary",문학동네,2024,단행본,2관6층 일반도서 [823.914 M292w K]대출가능
"이기는 언어 : 우아하게, 거침 없이 원하는 것을 얻는 대화의 기술","Nöllke, Matthias",더페이지,2024,단행본,2관4층 일반도서 [650.13 N796s 2019/ K]대출가능
지금 사랑한다고 말하세요 : 당신에게 들려주고 싶은 80가지 짧은 이야기,김창옥,수오서재,2024,단행본,1관3층 일반도서 [158.1 김811ㅈㄱ]대출가능
"(구약성경·신구약 외경과 함께 본) 네 복음서 대조. 1, 마태오 복음",정태현,한님성서연구소,2024,단행본,1관3층 일반도서 [226.1 네45]대출중
"칠십인역 우리말 번역 : 필요성과 의미, 하박국서 본문의 실례",한국칠십인역번역위원회,감은사,2024,단행본,1관3층 일반도서 [224.95 한17ㅊ]대출가능
(The basic 민법) 신입생 가이드북,정연석,정독,2024,단행본,법학전문도서관 단행본서가 [LA 346 정64ㅅ]대출가능
제주 남쪽 : 서귀포시 동지역,문신희,21세기북스 : 북이십일,2024,단행본,2관6층 일반도서 [915.198 문59ㅈ]대출가능
실패 없는 젠더 표현 가이드북 : 혼잣말도 바꾼다,일본신문노련 젠더 표현 가이드북 편집팀,마티,2025,단행본,1관4층 일반도서 [070.4082 일45ㅅ K]대출중
고대 이집트 전쟁론,유성환,씨아이알,2024,단행본,2관6층 일반도서 [932 유53ㄱ]대출가능
게임 데이터 분석의 노하우,ThinkingData,AK IT : 에이케이커뮤니케이션즈,2024,단행본,2관5층 일반도서 [794.8 T443ㅇ K]정리중
먼 산의 기억,"Pamuk, Orhan",민음사,2024,단행본,2관6층 일반도서 [894.3533 P186u K]대출가능
오만과 편견,"Austen, Jane",시간과공간사,2024,단행본,2관6층 일반도서 [823.7 A933p 2024d/K]정리중
미국의 동맹전략,이만석,플래닛미디어,2024,단행본,2관3층 일반도서 [327.51073 이31ㅁ]정리중
멕시칸 아메리칸의 역사,이은아,지식과감성#,2024,단행본,3관4층 일반도서 [973 이68ㅁ]정리중
어떻게 미국을 다시 위대하게 만들 것인가,"Trump, Donald J.",이레미디어,2024,단행본,2관3층 일반도서 [320.60973 T871c K/2024]정리중
Louis Stettner,"Stettner, Louis",Thames & Hudson,2024,단행본,1관3층 대형도서 [대 779.092 S841 2024]대출가능
Chinua Achebe,"Falola, Toyin",Bloomsbury Academic,2024,단행본,2관6층 일반도서 [823.914 A177F]대출가능
Nurturing 'difficult conversations' in education,"Fleming, Katarzyna",Bloomsbury Academic,2024,단행본,2관3층 일반도서 [370.1523 N974]대출가능
Soviet SCI_BERIA,"Tatarchenko, Ksenia",Bloomsbury Academic,2024,단행본,2관4층 일반도서 [607.24757 T216s]대출가능
Areruya and indigenous prophetism in Northern Amazonia,"Amaral, Virgínia",Bloomsbury Academic,2024,단행본,2관3층 일반도서 [305.8009811 A485 2024/E]대출가능
Herman Melville and neurodiversity,"Martinez Benedí, Pilar",Bloomsbury Academic,2024,단행본,2관6층 일반도서 [823.8 M531MT]대출가능
Post socialist dance,"Van Assche, Annelies",Methuen Drama,2024,단행본,2관5층 일반도서 [792.8090904 P858]대출가능
김지하를 다시 본다,염무웅,개마서원,2024,단행본,2관5층 일반도서 [811.17 김79김지]대출중
나는 미국 월배당 ETF로 40대에 은퇴한다,최영민,지음미디어,2024,단행본,2관3층 일반도서 [332.6322 최64ㄴ]대출가능
정서중심상담의 실제,"Elliott, Robert",학지사,2024,단행본,2관4층 일반도서 [616.8914 E46e K]대출가능
단어가 품은 세계,황선엽,빛의서가 : 리더스 그라운드,2024,단행본,2관4층 일반도서 [411.4 황53ㄷ]대출가능
들뢰즈 경제학,강윤호,북랩,2024,단행본,2관3층 일반도서 [330 강67ㄷ]대출가능
"위스키, 스틸 영",박병진,사계절,2025,단행본,중앙도서관 [ ]정리중
민법총칙,김준호,法文社,2025,단행본,법학전문도서관 단행본서가 [ ]정리중
민법강의,김준호,法文社,2025,단행본,법학전문도서관 단행본서가 [ ]정리중
특허의 이해,윤선희,法文社,2025,단행본,법학전문도서관 단행본서가 [ ]정리중
물권법,김준호,法文社,2025,단행본,법학전문도서관 단행본서가 [ ]정리중
채권법,김준호,法文社,2025,단행본,법학전문도서관 단행본서가 [ ]정리중
범죄피해자와 헌법,박성태,박영사,2025,단행본,법학전문도서관 단행본서가 [ ]정리중
물권법,송덕수,박영사,2025,단행본,법학전문도서관 단행본서가 [ ]정리중
기본민법,송덕수,박영사,2025,단행본,법학전문도서관 단행본서가 [ ]정리중
상속세 없는 상속법,배명록,박영사,2025,단행본,법학전문도서관 단행본서가 [ ]정리중
민법의 세계 : 물권법,양형우,정독,2025,단행본,법학전문도서관 단행본서가 [ ]정리중
민법의 세계 : 민법총칙,양형우,정독,2025,단행본,법학전문도서관 단행본서가 [ ]정리중
민법의 세계 : 친족상속법,양형우,정독,2025,단행본,법학전문도서관 단행본서가 [ ]정리중
신민법입문,송덕수,박영사,2025,단행본,법학전문도서관 단행본서가 [ ]정리중
